,Año,Trimestre,Provincia,Accesos por cada 100 hogares,Accesos por cada 100 hogares posterior
15,2024,1,Río Negro,71.14,28.699559509630678
976,2014,1,Salta,28.699559509630678,28.914594000862877
952,2014,2,Salta,28.914594000862877,29.2226843537979
928,2014,3,Salta,29.2226843537979,29.534861619577978
904,2014,4,Salta,29.534861619577978,30.00978823344275
880,2015,1,Salta,30.00978823344275,30.46112384270092
856,2015,2,Salta,30.46112384270092,31.175945212858434
832,2015,3,Salta,31.175945212858434,31.593492648071866
808,2015,4,Salta,31.593492648071866,31.315545971153234
784,2016,1,Salta,31.315545971153234,32.08172602508202
760,2016,2,Salta,32.08172602508202,32.95583168118035
736,2016,3,Salta,32.95583168118035,32.69411973937546
712,2016,4,Salta,32.69411973937546,32.57548931482305
688,2017,1,Salta,32.57548931482305,32.739420263626215
664,2017,2,Salta,32.739420263626215,39.839700806907416
640,2017,3,Salta,39.839700806907416,39.79624247145896
616,2017,4,Salta,39.79624247145896,39.775591632918804
592,2018,1,Salta,39.775591632918804,39.93719209989731
568,2018,2,Salta,39.93719209989731,39.42741342068409
544,2018,3,Salta,39.42741342068409,39.801610069738146
520,2018,4,Salta,39.801610069738146,40.09834441771615
496,2019,1,Salta,40.09834441771615,41.89319832036978
472,2019,2,Salta,41.89319832036978,44.47617792228716
448,2019,3,Salta,44.47617792228716,50.35463892238824
424,2019,4,Salta,50.35463892238824,49.59568027012866
400,2020,1,Salta,49.59568027012866,51.58158335340357
376,2020,2,Salta,51.58158335340357,52.31571212848803
352,2020,3,Salta,52.31571212848803,54.04275200147659
328,2020,4,Salta,54.04275200147659,53.93001926339093
304,2021,1,Salta,53.93001926339093,54.930090174788894
280,2021,2,Salta,54.930090174788894,55.964278059584196
256,2021,3,Salta,55.964278059584196,56.81442605762217
232,2021,4,Salta,56.81442605762217,56.10759340849759
208,2022,1,Salta,56.10759340849759,57.54
184,2022,2,Salta,57.54,57.76
160,2022,3,Salta,57.76,57.96
136,2022,4,Salta,57.96,57.67
112,2023,1,Salta,57.67,57.48
88,2023,2,Salta,57.48,57.57
64,2023,3,Salta,57.57,56.98
40,2023,4,Salta,56.98,56.3
16,2024,1,Salta,56.3,27.59549302299609
977,2014,1,San Juan,27.59549302299609,27.782697817958912
953,2014,2,San Juan,27.782697817958912,27.854244478102746
929,2014,3,San Juan,27.854244478102746,28.037145714560673
905,2014,4,San Juan,28.037145714560673,27.553192759766446
881,2015,1,San Juan,27.553192759766446,27.64305342045848
857,2015,2,San Juan,27.64305342045848,27.66538565566005
833,2015,3,San Juan,27.66538565566005,27.6648539357743
809,2015,4,San Juan,27.6648539357743,27.330794110004312
785,2016,1,San Juan,27.330794110004312,27.34078151409113
761,2016,2,San Juan,27.34078151409113,27.31712713599077
737,2016,3,San Juan,27.31712713599077,27.292421452197058
713,2016,4,San Juan,27.292421452197058,27.03676098842391
689,2017,1,San Juan,27.03676098842391,26.96461612024698
665,2017,2,San Juan,26.96461612024698,32.36688935995978
641,2017,3,San Juan,32.36688935995978,30.29992919128174
617,2017,4,San Juan,30.29992919128174,32.60917745169287
593,2018,1,San Juan,32.60917745169287,32.94664884868421
569,2018,2,San Juan,32.94664884868421,33.05141650392377
545,2018,3,San Juan,33.05141650392377,31.89625207025579
